Travel Modes,Trip Characteristics,Region,Year,Average Trip Per Day,Average Trip Per Year
Total,Tuesday,Oost-Nederland (LD),2021,2.6,135.0
Total,Tuesday,West-Nederland (LD),2018,2.81,146.0
Total,Tuesday,West-Nederland (LD),2019,2.69,143.0
Total,Tuesday,West-Nederland (LD),2020,2.31,120.0
Total,Tuesday,West-Nederland (LD),2021,2.49,130.0
Total,Tuesday,Zuid-Nederland (LD),2018,2.89,150.0
Total,Tuesday,Zuid-Nederland (LD),2019,2.75,146.0
Total,Tuesday,Zuid-Nederland (LD),2020,2.38,124.0
Total,Tuesday,Zuid-Nederland (LD),2021,2.42,126.0
Total,Tuesday,Groningen (PV),2018,2.57,134.0
Total,Tuesday,Groningen (PV),2019,2.38,126.0
Total,Tuesday,Groningen (PV),2020,2.32,120.0
Total,Tuesday,Groningen (PV),2021,2.36,123.0
Total,Tuesday,Fryslân (PV),2018,2.71,141.0
Total,Tuesday,Fryslân (PV),2019,2.5,133.0
Total,Tuesday,Fryslân (PV),2020,2.47,129.0
Total,Tuesday,Fryslân (PV),2021,2.46,128.0
Total,Tuesday,Drenthe (PV),2018,2.59,135.0
Total,Tuesday,Drenthe (PV),2019,2.64,140.0
Total,Tuesday,Drenthe (PV),2020,2.03,106.0
Total,Tuesday,Drenthe (PV),2021,2.32,121.0
Total,Tuesday,Overijssel (PV),2018,2.7,140.0
Total,Tuesday,Overijssel (PV),2019,2.54,134.0
Total,Tuesday,Overijssel (PV),2020,2.45,127.0
Total,Tuesday,Overijssel (PV),2021,2.62,136.0
Total,Tuesday,Flevoland (PV),2018,2.42,126.0
Total,Tuesday,Flevoland (PV),2019,2.31,123.0
Total,Tuesday,Flevoland (PV),2020,2.19,114.0
Total,Tuesday,Flevoland (PV),2021,2.16,112.0
Total,Tuesday,Gelderland (PV),2018,2.77,144.0
Total,Tuesday,Gelderland (PV),2019,2.67,142.0
Total,Tuesday,Gelderland (PV),2020,2.42,126.0
Total,Tuesday,Gelderland (PV),2021,2.56,133.0
Total,Tuesday,Utrecht (PV),2018,2.8,146.0
Total,Tuesday,Utrecht (PV),2019,2.58,137.0
Total,Tuesday,Utrecht (PV),2020,2.37,123.0
Total,Tuesday,Utrecht (PV),2021,2.45,127.0
Total,Tuesday,Noord-Holland (PV),2018,2.88,150.0
Total,Tuesday,Noord-Holland (PV),2019,2.62,139.0
Total,Tuesday,Noord-Holland (PV),2020,2.22,115.0
Total,Tuesday,Noord-Holland (PV),2021,2.43,127.0
Total,Tuesday,Zuid-Holland (PV),2018,2.67,139.0
Total,Tuesday,Zuid-Holland (PV),2019,2.65,141.0
Total,Tuesday,Zuid-Holland (PV),2020,2.22,115.0
Total,Tuesday,Zuid-Holland (PV),2021,2.44,127.0
Total,Tuesday,Zeeland (PV),2018,2.32,121.0
Total,Tuesday,Zeeland (PV),2019,2.53,134.0
Total,Tuesday,Zeeland (PV),2020,2.36,123.0
Total,Tuesday,Zeeland (PV),2021,2.52,131.0
Total,Tuesday,Noord-Brabant (PV),2018,2.95,153.0
Total,Tuesday,Noord-Brabant (PV),2019,2.77,147.0
Total,Tuesday,Noord-Brabant (PV),2020,2.37,123.0
Total,Tuesday,Noord-Brabant (PV),2021,2.41,125.0
Total,Tuesday,Limburg (PV),2018,2.62,136.0
Total,Tuesday,Limburg (PV),2019,2.53,134.0
Total,Tuesday,Limburg (PV),2020,2.25,117.0
Total,Tuesday,Limburg (PV),2021,2.32,121.0
Total,Tuesday,The Netherlands,2018,2.97,155.0
Total,Tuesday,The Netherlands,2019,2.85,151.0
Total,Tuesday,The Netherlands,2020,2.52,131.0
Total,Tuesday,The Netherlands,2021,2.64,137.0
Total,Tuesday,Noord-Nederland (LD),2018,3.06,159.0
Total,Tuesday,Noord-Nederland (LD),2019,3.01,160.0
Total,Tuesday,Noord-Nederland (LD),2020,2.78,145.0
Total,Tuesday,Noord-Nederland (LD),2021,2.8,146.0
Total,Tuesday,Oost-Nederland (LD),2018,3.01,156.0
Total,Tuesday,Oost-Nederland (LD),2019,2.89,153.0
Total,Tuesday,Oost-Nederland (LD),2020,2.7,141.0
Total,Tuesday,Oost-Nederland (LD),2021,2.81,146.0
Total,Tuesday,West-Nederland (LD),2018,2.97,154.0
Total,Tuesday,West-Nederland (LD),2019,2.85,151.0
Total,Tuesday,West-Nederland (LD),2020,2.44,127.0
Total,Tuesday,West-Nederland (LD),2021,2.62,136.0
Total,Tuesday,Zuid-Nederland (LD),2018,3.14,163.0
Total,Tuesday,Zuid-Nederland (LD),2019,3.0,159.0
Total,Tuesday,Zuid-Nederland (LD),2020,2.6,135.0
Total,Tuesday,Zuid-Nederland (LD),2021,2.64,138.0
Total,Tuesday,Groningen (PV),2018,3.1,161.0
Total,Tuesday,Groningen (PV),2019,3.01,160.0
Total,Tuesday,Groningen (PV),2020,2.88,150.0
Total,Tuesday,Groningen (PV),2021,2.87,149.0
Total,Tuesday,Fryslân (PV),2018,3.22,167.0
Total,Tuesday,Fryslân (PV),2019,3.14,167.0
Total,Tuesday,Fryslân (PV),2020,3.13,163.0
Total,Tuesday,Fryslân (PV),2021,2.98,155.0
Total,Tuesday,Drenthe (PV),2018,3.2,166.0
Total,Tuesday,Drenthe (PV),2019,3.3,175.0
Total,Tuesday,Drenthe (PV),2020,2.67,139.0
Total,Tuesday,Drenthe (PV),2021,2.88,150.0
Total,Tuesday,Overijssel (PV),2018,3.11,161.0
Total,Tuesday,Overijssel (PV),2019,2.94,156.0
Total,Tuesday,Overijssel (PV),2020,2.91,151.0
Total,Tuesday,Overijssel (PV),2021,3.0,156.0
Total,Tuesday,Flevoland (PV),2018,3.05,159.0
Total,Tuesday,Flevoland (PV),2019,2.89,153.0
Total,Tuesday,Flevoland (PV),2020,2.77,144.0
Total,Tuesday,Flevoland (PV),2021,2.72,141.0
Total,Tuesday,Gelderland (PV),2018,3.07,160.0
Total,Tuesday,Gelderland (PV),2019,2.99,158.0
Total,Tuesday,Gelderland (PV),2020,2.71,141.0
Total,Tuesday,Gelderland (PV),2021,2.84,148.0
Total,Tuesday,Utrecht (PV),2018,3.16,164.0
Total,Tuesday,Utrecht (PV),2019,2.99,159.0
Total,Tuesday,Utrecht (PV),2020,2.63,137.0
Total,Tuesday,Utrecht (PV),2021,2.68,139.0
Total,Tuesday,Noord-Holland (PV),2018,3.13,163.0
Total,Tuesday,Noord-Holland (PV),2019,2.88,153.0
Total,Tuesday,Noord-Holland (PV),2020,2.46,128.0
Total,Tuesday,Noord-Holland (PV),2021,2.67,139.0
Total,Tuesday,Zuid-Holland (PV),2018,2.9,151.0
Total,Tuesday,Zuid-Holland (PV),2019,2.87,152.0
Total,Tuesday,Zuid-Holland (PV),2020,2.41,125.0
Total,Tuesday,Zuid-Holland (PV),2021,2.62,136.0
Total,Tuesday,Zeeland (PV),2018,3.12,162.0
Total,Tuesday,Zeeland (PV),2019,3.28,174.0
Total,Tuesday,Zeeland (PV),2020,3.12,162.0
Total,Tuesday,Zeeland (PV),2021,3.18,165.0
Total,Tuesday,Noord-Brabant (PV),2018,3.26,169.0
Total,Tuesday,Noord-Brabant (PV),2019,3.07,163.0
Total,Tuesday,Noord-Brabant (PV),2020,2.64,137.0
Total,Tuesday,Noord-Brabant (PV),2021,2.67,139.0
Total,Tuesday,Limburg (PV),2018,3.03,157.0
Total,Tuesday,Limburg (PV),2019,3.0,159.0
Total,Tuesday,Limburg (PV),2020,2.64,137.0
Total,Tuesday,Limburg (PV),2021,2.72,141.0
Total,Wednesday,The Netherlands,2018,2.91,152.0
Total,Wednesday,The Netherlands,2019,2.89,150.0
Total,Wednesday,The Netherlands,2020,2.47,131.0
Total,Wednesday,The Netherlands,2021,2.67,139.0
Total,Wednesday,Noord-Nederland (LD),2018,2.91,152.0
Total,Wednesday,Noord-Nederland (LD),2019,2.84,148.0
Total,Wednesday,Noord-Nederland (LD),2020,2.54,134.0
Total,Wednesday,Noord-Nederland (LD),2021,2.64,137.0
Total,Wednesday,Oost-Nederland (LD),2018,2.97,154.0
Total,Wednesday,Oost-Nederland (LD),2019,3.08,160.0
Total,Wednesday,Oost-Nederland (LD),2020,2.61,138.0
Total,Wednesday,Oost-Nederland (LD),2021,2.73,142.0
Total,Wednesday,West-Nederland (LD),2018,2.87,149.0
Total,Wednesday,West-Nederland (LD),2019,2.84,148.0
Total,Wednesday,West-Nederland (LD),2020,2.36,125.0
Total,Wednesday,West-Nederland (LD),2021,2.62,136.0
Total,Wednesday,Zuid-Nederland (LD),2018,2.95,153.0
Total,Wednesday,Zuid-Nederland (LD),2019,2.86,149.0
Total,Wednesday,Zuid-Nederland (LD),2020,2.55,135.0
Total,Wednesday,Zuid-Nederland (LD),2021,2.73,142.0
Total,Wednesday,Groningen (PV),2018,3.05,158.0
Total,Wednesday,Groningen (PV),2019,2.68,139.0
Total,Wednesday,Groningen (PV),2020,2.24,119.0
Total,Wednesday,Groningen (PV),2021,2.57,134.0
Total,Wednesday,Fryslân (PV),2018,2.9,151.0
Total,Wednesday,Fryslân (PV),2019,2.65,138.0
Total,Wednesday,Fryslân (PV),2020,2.68,142.0
Total,Wednesday,Fryslân (PV),2021,2.64,137.0
Total,Wednesday,Drenthe (PV),2018,2.78,144.0
Total,Wednesday,Drenthe (PV),2019,3.27,170.0
Total,Wednesday,Drenthe (PV),2020,2.69,143.0
Total,Wednesday,Drenthe (PV),2021,2.72,141.0
Total,Wednesday,Overijssel (PV),2018,3.07,159.0
Total,Wednesday,Overijssel (PV),2019,3.03,157.0
Total,Wednesday,Overijssel (PV),2020,2.51,133.0
Total,Wednesday,Overijssel (PV),2021,2.91,151.0
Total,Wednesday,Flevoland (PV),2018,2.86,149.0
Total,Wednesday,Flevoland (PV),2019,2.68,139.0
Total,Wednesday,Flevoland (PV),2020,2.38,126.0
Total,Wednesday,Flevoland (PV),2021,2.34,122.0
Total,Wednesday,Gelderland (PV),2018,2.93,152.0
Total,Wednesday,Gelderland (PV),2019,3.19,166.0
Total,Wednesday,Gelderland (PV),2020,2.72,144.0
Total,Wednesday,Gelderland (PV),2021,2.72,141.0
Total,Wednesday,Utrecht (PV),2018,3.09,160.0
Total,Wednesday,Utrecht (PV),2019,3.12,162.0
Total,Wednesday,Utrecht (PV),2020,2.49,132.0
Total,Wednesday,Utrecht (PV),2021,2.77,144.0
Total,Wednesday,Noord-Holland (PV),2018,2.81,146.0
Total,Wednesday,Noord-Holland (PV),2019,2.8,145.0
Total,Wednesday,Noord-Holland (PV),2020,2.25,119.0
Total,Wednesday,Noord-Holland (PV),2021,2.61,136.0
Total,Wednesday,Zuid-Holland (PV),2018,2.88,150.0
Total,Wednesday,Zuid-Holland (PV),2019,2.79,145.0
Total,Wednesday,Zuid-Holland (PV),2020,2.38,126.0
Total,Wednesday,Zuid-Holland (PV),2021,2.56,133.0
Total,Wednesday,Zeeland (PV),2018,2.63,137.0
Total,Wednesday,Zeeland (PV),2019,2.64,137.0
Total,Wednesday,Zeeland (PV),2020,2.63,140.0
Total,Wednesday,Zeeland (PV),2021,2.67,139.0
Total,Wednesday,Noord-Brabant (PV),2018,2.99,155.0
Total,Wednesday,Noord-Brabant (PV),2019,2.82,147.0
Total,Wednesday,Noord-Brabant (PV),2020,2.61,138.0
Total,Wednesday,Noord-Brabant (PV),2021,2.77,144.0
Total,Wednesday,Limburg (PV),2018,2.86,149.0
Total,Wednesday,Limburg (PV),2019,2.94,153.0
Total,Wednesday,Limburg (PV),2020,2.42,128.0
Total,Wednesday,Limburg (PV),2021,2.63,137.0
Total,Wednesday,The Netherlands,2018,2.86,149.0
Total,Wednesday,The Netherlands,2019,2.83,147.0
Total,Wednesday,The Netherlands,2020,2.42,128.0
Total,Wednesday,The Netherlands,2021,2.62,136.0
Total,Wednesday,Noord-Nederland (LD),2018,2.74,142.0
Total,Wednesday,Noord-Nederland (LD),2019,2.65,138.0
Total,Wednesday,Noord-Nederland (LD),2020,2.35,125.0
Total,Wednesday,Noord-Nederland (LD),2021,2.47,128.0
Total,Wednesday,Oost-Nederland (LD),2018,2.84,148.0
Total,Wednesday,Oost-Nederland (LD),2019,2.95,153.0
Total,Wednesday,Oost-Nederland (LD),2020,2.5,132.0
Total,Wednesday,Oost-Nederland (LD),2021,2.62,136.0
Total,Wednesday,West-Nederland (LD),2018,2.79,145.0
Total,Wednesday,West-Nederland (LD),2019,2.76,143.0
Total,Wednesday,West-Nederland (LD),2020,2.3,122.0
Total,Wednesday,West-Nederland (LD),2021,2.55,133.0
Total,Wednesday,Zuid-Nederland (LD),2018,2.83,147.0
Total,Wednesday,Zuid-Nederland (LD),2019,2.72,142.0
Total,Wednesday,Zuid-Nederland (LD),2020,2.43,129.0
Total,Wednesday,Zuid-Nederland (LD),2021,2.61,136.0
Total,Wednesday,Groningen (PV),2018,2.75,143.0
Total,Wednesday,Groningen (PV),2019,2.4,125.0
Total,Wednesday,Groningen (PV),2020,1.94,103.0
Total,Wednesday,Groningen (PV),2021,2.28,119.0
Total,Wednesday,Fryslân (PV),2018,2.63,137.0
Total,Wednesday,Fryslân (PV),2019,2.34,122.0
Total,Wednesday,Fryslân (PV),2020,2.37,125.0
Total,Wednesday,Fryslân (PV),2021,2.37,123.0
Total,Wednesday,Drenthe (PV),2018,2.41,125.0
Total,Wednesday,Drenthe (PV),2019,2.87,149.0
Total,Wednesday,Drenthe (PV),2020,2.37,126.0
Total,Wednesday,Drenthe (PV),2021,2.39,125.0
Total,Wednesday,Overijssel (PV),2018,2.83,147.0
Total,Wednesday,Overijssel (PV),2019,2.81,146.0
Total,Wednesday,Overijssel (PV),2020,2.31,123.0
Total,Wednesday,Overijssel (PV),2021,2.69,140.0
Total,Wednesday,Flevoland (PV),2018,2.49,130.0
Total,Wednesday,Flevoland (PV),2019,2.36,123.0
Total,Wednesday,Flevoland (PV),2020,2.07,110.0
Total,Wednesday,Flevoland (PV),2021,2.03,106.0
Total,Wednesday,Gelderland (PV),2018,2.76,144.0
Total,Wednesday,Gelderland (PV),2019,3.01,156.0
Total,Wednesday,Gelderland (PV),2020,2.56,136.0
Total,Wednesday,Gelderland (PV),2021,2.57,133.0
Total,Wednesday,Utrecht (PV),2018,2.87,149.0
Total,Wednesday,Utrecht (PV),2019,2.91,152.0
Total,Wednesday,Utrecht (PV),2020,2.36,125.0
Total,Wednesday,Utrecht (PV),2021,2.63,137.0
Total,Wednesday,Noord-Holland (PV),2018,2.68,139.0
Total,Wednesday,Noord-Holland (PV),2019,2.65,138.0
Total,Wednesday,Noord-Holland (PV),2020,2.13,113.0
Total,Wednesday,Noord-Holland (PV),2021,2.49,129.0
Total,Wednesday,Zuid-Holland (PV),2018,2.75,143.0
Total,Wednesday,Zuid-Holland (PV),2019,2.68,139.0
Total,Wednesday,Zuid-Holland (PV),2020,2.28,121.0
Total,Wednesday,Zuid-Holland (PV),2021,2.46,128.0
Total,Wednesday,Zeeland (PV),2018,2.29,119.0
Total,Wednesday,Zeeland (PV),2019,2.24,116.0
Total,Wednesday,Zeeland (PV),2020,2.3,122.0
Total,Wednesday,Zeeland (PV),2021,2.36,123.0
Total,Wednesday,Noord-Brabant (PV),2018,2.84,148.0
Total,Wednesday,Noord-Brabant (PV),2019,2.66,138.0
Total,Wednesday,Noord-Brabant (PV),2020,2.47,131.0
Total,Wednesday,Noord-Brabant (PV),2021,2.63,137.0
Total,Wednesday,Limburg (PV),2018,2.67,139.0
Total,Wednesday,Limburg (PV),2019,2.7,140.0
Total,Wednesday,Limburg (PV),2020,2.22,117.0
Total,Wednesday,Limburg (PV),2021,2.41,126.0
Total,Wednesday,The Netherlands,2018,2.97,154.0
Total,Wednesday,The Netherlands,2019,2.95,153.0
Total,Wednesday,The Netherlands,2020,2.52,134.0
Total,Wednesday,The Netherlands,2021,2.72,141.0
Total,Wednesday,Noord-Nederland (LD),2018,3.09,161.0
Total,Wednesday,Noord-Nederland (LD),2019,3.03,157.0
Total,Wednesday,Noord-Nederland (LD),2020,2.72,144.0
Total,Wednesday,Noord-Nederland (LD),2021,2.81,146.0
Total,Wednesday,Oost-Nederland (LD),2018,3.09,161.0
Total,Wednesday,Oost-Nederland (LD),2019,3.21,167.0
Total,Wednesday,Oost-Nederland (LD),2020,2.73,144.0
Total,Wednesday,Oost-Nederland (LD),2021,2.85,148.0
Total,Wednesday,West-Nederland (LD),2018,2.95,154.0
Total,Wednesday,West-Nederland (LD),2019,2.92,152.0
Total,Wednesday,West-Nederland (LD),2020,2.43,129.0
Total,Wednesday,West-Nederland (LD),2021,2.68,139.0
Total,Wednesday,Zuid-Nederland (LD),2018,3.07,160.0
Total,Wednesday,Zuid-Nederland (LD),2019,2.99,155.0
Total,Wednesday,Zuid-Nederland (LD),2020,2.67,142.0
Total,Wednesday,Zuid-Nederland (LD),2021,2.84,148.0
Total,Wednesday,Groningen (PV),2018,3.34,174.0
Total,Wednesday,Groningen (PV),2019,2.96,154.0
Total,Wednesday,Groningen (PV),2020,2.54,135.0
Total,Wednesday,Groningen (PV),2021,2.87,149.0
Total,Wednesday,Fryslân (PV),2018,3.17,165.0
Total,Wednesday,Fryslân (PV),2019,2.95,153.0
Total,Wednesday,Fryslân (PV),2020,3.0,159.0
Total,Wednesday,Fryslân (PV),2021,2.91,151.0
Total,Wednesday,Drenthe (PV),2018,3.15,164.0
Total,Wednesday,Drenthe (PV),2019,3.68,191.0
Total,Wednesday,Drenthe (PV),2020,3.01,159.0
Total,Wednesday,Drenthe (PV),2021,3.04,158.0
Total,Wednesday,Overijssel (PV),2018,3.3,172.0
Total,Wednesday,Overijssel (PV),2019,3.24,168.0
Total,Wednesday,Overijssel (PV),2020,2.71,144.0
Total,Wednesday,Overijssel (PV),2021,3.13,163.0
Total,Wednesday,Flevoland (PV),2018,3.24,168.0
Total,Wednesday,Flevoland (PV),2019,3.01,156.0
Total,Wednesday,Flevoland (PV),2020,2.68,142.0
Total,Wednesday,Flevoland (PV),2021,2.65,138.0
Total,Wednesday,Gelderland (PV),2018,3.1,161.0
Total,Wednesday,Gelderland (PV),2019,3.37,175.0
Total,Wednesday,Gelderland (PV),2020,2.87,152.0
Total,Wednesday,Gelderland (PV),2021,2.86,149.0
Total,Wednesday,Utrecht (PV),2018,3.3,172.0
Total,Wednesday,Utrecht (PV),2019,3.33,173.0
Total,Wednesday,Utrecht (PV),2020,2.62,139.0
Total,Wednesday,Utrecht (PV),2021,2.9,151.0
Total,Wednesday,Noord-Holland (PV),2018,2.94,153.0
Total,Wednesday,Noord-Holland (PV),2019,2.95,153.0
Total,Wednesday,Noord-Holland (PV),2020,2.37,125.0
Total,Wednesday,Noord-Holland (PV),2021,2.73,142.0
Total,Wednesday,Zuid-Holland (PV),2018,3.0,156.0
Total,Wednesday,Zuid-Holland (PV),2019,2.9,151.0
Total,Wednesday,Zuid-Holland (PV),2020,2.47,131.0
Total,Wednesday,Zuid-Holland (PV),2021,2.65,138.0
Total,Wednesday,Zeeland (PV),2018,2.97,155.0
Total,Wednesday,Zeeland (PV),2019,3.05,158.0
Total,Wednesday,Zeeland (PV),2020,2.97,157.0
Total,Wednesday,Zeeland (PV),2021,2.98,155.0
Total,Wednesday,Noord-Brabant (PV),2018,3.14,163.0
Total,Wednesday,Noord-Brabant (PV),2019,2.97,155.0
Total,Wednesday,Noord-Brabant (PV),2020,2.76,146.0
Total,Wednesday,Noord-Brabant (PV),2021,2.91,151.0
Total,Wednesday,Limburg (PV),2018,3.06,159.0
Total,Wednesday,Limburg (PV),2019,3.18,166.0
Total,Wednesday,Limburg (PV),2020,2.62,139.0
Total,Wednesday,Limburg (PV),2021,2.84,147.0
Total,Thursday,The Netherlands,2018,2.93,152.0
Total,Thursday,The Netherlands,2019,2.91,151.0
Total,Thursday,The Netherlands,2020,2.49,132.0
Total,Thursday,The Netherlands,2021,2.62,136.0
Total,Thursday,Noord-Nederland (LD),2018,2.94,153.0
Total,Thursday,Noord-Nederland (LD),2019,2.93,153.0
Total,Thursday,Noord-Nederland (LD),2020,2.59,138.0
Total,Thursday,Noord-Nederland (LD),2021,2.59,135.0
Total,Thursday,Oost-Nederland (LD),2018,2.95,153.0
Total,Thursday,Oost-Nederland (LD),2019,2.92,152.0
Total,Thursday,Oost-Nederland (LD),2020,2.51,133.0
Total,Thursday,Oost-Nederland (LD),2021,2.71,141.0
Total,Thursday,West-Nederland (LD),2018,2.91,152.0
Total,Thursday,West-Nederland (LD),2019,2.91,151.0
Total,Thursday,West-Nederland (LD),2020,2.4,127.0
Total,Thursday,West-Nederland (LD),2021,2.56,133.0
Total,Thursday,Zuid-Nederland (LD),2018,2.95,153.0
Total,Thursday,Zuid-Nederland (LD),2019,2.89,150.0
Total,Thursday,Zuid-Nederland (LD),2020,2.64,140.0
Total,Thursday,Zuid-Nederland (LD),2021,2.71,141.0
Total,Thursday,Groningen (PV),2018,2.85,148.0
Total,Thursday,Groningen (PV),2019,2.89,150.0
Total,Thursday,Groningen (PV),2020,2.58,137.0
Total,Thursday,Groningen (PV),2021,2.43,127.0
Total,Thursday,Fryslân (PV),2018,2.93,152.0
Total,Thursday,Fryslân (PV),2019,2.94,153.0
Total,Thursday,Fryslân (PV),2020,2.62,139.0
Total,Thursday,Fryslân (PV),2021,2.77,144.0
Total,Thursday,Drenthe (PV),2018,3.06,159.0
Total,Thursday,Drenthe (PV),2019,2.98,155.0
Total,Thursday,Drenthe (PV),2020,2.58,137.0
Total,Thursday,Drenthe (PV),2021,2.53,132.0
Total,Thursday,Overijssel (PV),2018,3.01,156.0
Total,Thursday,Overijssel (PV),2019,2.98,155.0
Total,Thursday,Overijssel (PV),2020,2.48,131.0
Total,Thursday,Overijssel (PV),2021,2.68,140.0
Total,Thursday,Flevoland (PV),2018,3.15,164.0
Total,Thursday,Flevoland (PV),2019,2.42,126.0
Total,Thursday,Flevoland (PV),2020,2.49,132.0
Total,Thursday,Flevoland (PV),2021,2.66,138.0
Total,Thursday,Gelderland (PV),2018,2.87,149.0
Total,Thursday,Gelderland (PV),2019,2.99,155.0
Total,Thursday,Gelderland (PV),2020,2.53,134.0
Total,Thursday,Gelderland (PV),2021,2.73,142.0
Total,Thursday,Utrecht (PV),2018,2.93,153.0
Total,Thursday,Utrecht (PV),2019,3.08,160.0
Total,Thursday,Utrecht (PV),2020,2.57,136.0
Total,Thursday,Utrecht (PV),2021,2.69,140.0
Total,Thursday,Noord-Holland (PV),2018,2.97,154.0
Total,Thursday,Noord-Holland (PV),2019,2.86,149.0
Total,Thursday,Noord-Holland (PV),2020,2.38,126.0
Total,Thursday,Noord-Holland (PV),2021,2.5,130.0
Total,Thursday,Zuid-Holland (PV),2018,2.85,148.0
Total,Thursday,Zuid-Holland (PV),2019,2.89,150.0
Total,Thursday,Zuid-Holland (PV),2020,2.36,125.0
Total,Thursday,Zuid-Holland (PV),2021,2.51,130.0
Total,Thursday,Zeeland (PV),2018,3.09,161.0
Total,Thursday,Zeeland (PV),2019,2.93,153.0
Total,Thursday,Zeeland (PV),2020,2.4,127.0
Total,Thursday,Zeeland (PV),2021,2.96,154.0
Total,Thursday,Noord-Brabant (PV),2018,3.0,156.0
Total,Thursday,Noord-Brabant (PV),2019,2.88,150.0
Total,Thursday,Noord-Brabant (PV),2020,2.59,137.0
Total,Thursday,Noord-Brabant (PV),2021,2.71,141.0
Total,Thursday,Limburg (PV),2018,2.82,147.0
Total,Thursday,Limburg (PV),2019,2.9,151.0
Total,Thursday,Limburg (PV),2020,2.74,145.0
Total,Thursday,Limburg (PV),2021,2.72,141.0
Total,Thursday,The Netherlands,2018,2.88,150.0
Total,Thursday,The Netherlands,2019,2.85,148.0
Total,Thursday,The Netherlands,2020,2.44,130.0
Total,Thursday,The Netherlands,2021,2.58,134.0
Total,Thursday,Noord-Nederland (LD),2018,2.77,144.0
Total,Thursday,Noord-Nederland (LD),2019,2.74,142.0
Total,Thursday,Noord-Nederland (LD),2020,2.42,128.0
Total,Thursday,Noord-Nederland (LD),2021,2.42,126.0
Total,Thursday,Oost-Nederland (LD),2018,2.84,148.0
Total,Thursday,Oost-Nederland (LD),2019,2.79,145.0
Total,Thursday,Oost-Nederland (LD),2020,2.39,127.0
Total,Thursday,Oost-Nederland (LD),2021,2.59,135.0
Total,Thursday,West-Nederland (LD),2018,2.83,147.0
Total,Thursday,West-Nederland (LD),2019,2.83,147.0
Total,Thursday,West-Nederland (LD),2020,2.34,124.0
Total,Thursday,West-Nederland (LD),2021,2.49,130.0
Total,Thursday,Zuid-Nederland (LD),2018,2.83,147.0
Total,Thursday,Zuid-Nederland (LD),2019,2.76,143.0
Total,Thursday,Zuid-Nederland (LD),2020,2.52,134.0
Total,Thursday,Zuid-Nederland (LD),2021,2.6,135.0
Total,Thursday,Groningen (PV),2018,2.54,132.0
Total,Thursday,Groningen (PV),2019,2.56,133.0
Total,Thursday,Groningen (PV),2020,2.33,124.0
Total,Thursday,Groningen (PV),2021,2.17,113.0
Total,Thursday,Fryslân (PV),2018,2.68,139.0
Total,Thursday,Fryslân (PV),2019,2.62,136.0
Total,Thursday,Fryslân (PV),2020,2.32,123.0
Total,Thursday,Fryslân (PV),2021,2.48,129.0
Total,Thursday,Drenthe (PV),2018,2.7,141.0
Total,Thursday,Drenthe (PV),2019,2.58,134.0
Total,Thursday,Drenthe (PV),2020,2.22,118.0
Total,Thursday,Drenthe (PV),2021,2.23,116.0
Total,Thursday,Overijssel (PV),2018,2.82,147.0
Total,Thursday,Overijssel (PV),2019,2.75,143.0
Total,Thursday,Overijssel (PV),2020,2.27,120.0
Total,Thursday,Overijssel (PV),2021,2.48,129.0
Total,Thursday,Flevoland (PV),2018,2.83,147.0
Total,Thursday,Flevoland (PV),2019,2.09,109.0
Total,Thursday,Flevoland (PV),2020,2.14,113.0
Total,Thursday,Flevoland (PV),2021,2.29,119.0
Total,Thursday,Gelderland (PV),2018,2.73,142.0
Total,Thursday,Gelderland (PV),2019,2.81,146.0
Total,Thursday,Gelderland (PV),2020,2.38,126.0
Total,Thursday,Gelderland (PV),2021,2.58,134.0
Total,Thursday,Utrecht (PV),2018,2.73,142.0
Total,Thursday,Utrecht (PV),2019,2.85,148.0
Total,Thursday,Utrecht (PV),2020,2.44,129.0
Total,Thursday,Utrecht (PV),2021,2.57,134.0
Total,Thursday,Noord-Holland (PV),2018,2.84,148.0
Total,Thursday,Noord-Holland (PV),2019,2.72,141.0
Total,Thursday,Noord-Holland (PV),2020,2.25,119.0
Total,Thursday,Noord-Holland (PV),2021,2.39,124.0
Total,Thursday,Zuid-Holland (PV),2018,2.73,142.0
Total,Thursday,Zuid-Holland (PV),2019,2.78,144.0
Total,Thursday,Zuid-Holland (PV),2020,2.27,120.0
Total,Thursday,Zuid-Holland (PV),2021,2.41,126.0
Total,Thursday,Zeeland (PV),2018,2.78,145.0
Total,Thursday,Zeeland (PV),2019,2.51,131.0
Total,Thursday,Zeeland (PV),2020,2.06,109.0
Total,Thursday,Zeeland (PV),2021,2.58,134.0
Total,Thursday,Noord-Brabant (PV),2018,2.86,149.0
Total,Thursday,Noord-Brabant (PV),2019,2.72,141.0
Total,Thursday,Noord-Brabant (PV),2020,2.45,130.0
Total,Thursday,Noord-Brabant (PV),2021,2.58,134.0
Total,Thursday,Limburg (PV),2018,2.62,136.0
Total,Thursday,Limburg (PV),2019,2.68,140.0
Total,Thursday,Limburg (PV),2020,2.53,134.0
Total,Thursday,Limburg (PV),2021,2.51,130.0
Total,Thursday,The Netherlands,2018,2.98,155.0
Total,Thursday,The Netherlands,2019,2.97,154.0
Total,Thursday,The Netherlands,2020,2.54,135.0
Total,Thursday,The Netherlands,2021,2.67,139.0
Total,Thursday,Noord-Nederland (LD),2018,3.11,162.0
Total,Thursday,Noord-Nederland (LD),2019,3.13,163.0
Total,Thursday,Noord-Nederland (LD),2020,2.77,147.0
